Species	Symbol	Ensembl	Family	Entrez ID
Rattus_norvegicus	Pcgf3	ENSRNOG00000000062	PCGF	305624
Rattus_norvegicus	Mtf2	ENSRNOG00000000075	Others	360905
Rattus_norvegicus	Hltf	ENSRNOG00000000082	Others	295568
Rattus_norvegicus	Coprs	ENSRNOG00000000111	Others	290925
Rattus_norvegicus	Srsf2	ENSRNOG00000000248	Others	494445
Rattus_norvegicus	Jmjd6	ENSRNOG00000000250	Others	360665
Rattus_norvegicus	Prmt7	ENSRNOG00000000258	Arginine methyltransferase	361402
Rattus_norvegicus	Ccar1	ENSRNOG00000000397	Others	361849
Rattus_norvegicus	Vgll2	ENSRNOG00000000405	Vestigial like	309772
Rattus_norvegicus	Asf1a	ENSRNOG00000000415	Others	294408
Rattus_norvegicus	Notch4	ENSRNOG00000000442	Notch	406162
Rattus_norvegicus	LOC108348112	ENSRNOG00000000461	Bromodomain	108348112
Rattus_norvegicus	Ring1	ENSRNOG00000000467	Ring finger protein	309626
Rattus_norvegicus	Daxx	ENSRNOG00000000477	Other_CRF	140926
Rattus_norvegicus	Phf1	ENSRNOG00000000480	PHF	294287
Rattus_norvegicus	RGD735065	ENSRNOG00000000524	Other_CRF	294311
Rattus_norvegicus	Pim1	ENSRNOG00000000529	Others	24649
Rattus_norvegicus	Frk	ENSRNOG00000000543	Others	79209
Rattus_norvegicus	Pcbd1	ENSRNOG00000000566	Others	29700
Rattus_norvegicus	Cdk19	ENSRNOG00000000583	Cyclin	309804
Rattus_norvegicus	Hdac2	ENSRNOG00000000604	Histone deacetylase	84577
Rattus_norvegicus	Hint1	ENSRNOG00000000622	Others	690660
Rattus_norvegicus	Cdk1	ENSRNOG00000000632	Cyclin	54237
Rattus_norvegicus	Nrbf2	ENSRNOG00000000641	Nuclear receptor coactivator	58839
Rattus_norvegicus	Jmjd1c	ENSRNOG00000000648	Other_CRF	171120
Rattus_norvegicus	Cggbp1	ENSRNOG00000000718	Others	288353
Rattus_norvegicus	Gtf2h4	ENSRNOG00000000831	GTF	294236
Rattus_norvegicus	Ddx39b	ENSRNOG00000000841	RNA helicase	114612
Rattus_norvegicus	Rbmx	ENSRNOG00000000866	RNA binding protein	302855
Rattus_norvegicus	Fhl1	ENSRNOG00000000875	FHL	25177
Rattus_norvegicus	Auts2	ENSRNOG00000000885	Others	-
Rattus_norvegicus	Sfswap	ENSRNOG00000000931	Others	304431
Rattus_norvegicus	Ran	ENSRNOG00000000938	Others	84509
Rattus_norvegicus	Rnf6	ENSRNOG00000000968	Ring finger protein	304271
